REQUISITOS;PRODUCT BACKLOG;TIPO
1;O sistema deve monitorar CPU, RAM e disco. ;Essencial
2;O sistema deve monitorar placa de v¡deo;Essencial
3;O sistema deve notificar o usu rio quando necess rio;Importante
4;O site deve ser responsivo;Desej vel
5;O sistema deve cadastrar todas as maquinas monitoradas;Essencial
6;O sistema deve emitir relat¢rios ;Essencial
7;O sistema deve gerenciar aplica‡äes em segundo plano;Importante
8;O sistema deve ter modo de visualiza‡Æo noturno;Desej vel
9;O sistema deve ter um dashboard informativo sobre a aplica‡Æo;Essencial
10;O sistema indicar  pe‡as de substitui‡Æo adequadas de acordo com as necessidades;Essencial
11;O sistema dever  ter tela de login e cadastro;Essencial
12;O gestor logado, poder  restringir acesso a determinados sites e aplica‡äes;Importante
13;A aplica‡Æo dever  estar conectada ao banco de dados;Essencial
14;;
15;;
16;;
